1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
409,454,484,502,518,536,545,549,556,567,571,574,578,587,589,592,595,599,602,603,603
422,458,477,503,519,529,542,549,552,562,573,578,585,587,590,593,597,600,600,602,603
415,454,481,508,521,536,546,559,569,577,583,589,591,593,593,594,597,600,603,603,603
394,445,472,490,509,522,535,552,560,564,570,572,583,586,590,591,595,600,601,602,603
418,453,488,510,524,534,547,555,561,570,573,578,580,583,588,589,590,593,601,602,603
405,442,471,499,520,530,540,550,560,566,572,577,584,591,593,596,598,600,603,603,603
432,475,495,515,526,539,546,554,562,569,577,581,589,590,595,596,599,602,602,603,603
424,462,480,504,515,536,546,554,563,567,575,578,583,586,589,591,595,600,602,603,603
421,465,487,506,523,532,539,544,551,559,564,568,576,582,585,588,592,597,601,601,603
409,443,468,492,510,520,535,548,552,562,569,577,583,588,588,590,595,600,601,603,603
422,461,486,506,515,524,534,541,551,557,565,571,577,581,586,588,592,596,600,601,603
418,455,486,501,519,539,550,556,564,569,576,578,582,585,587,593,595,598,601,602,603
417,461,486,511,526,535,547,555,562,569,574,580,588,593,594,597,601,603,603,603,603
421,465,483,501,513,527,543,548,552,558,565,570,576,584,589,594,597,598,600,603,603
414,458,481,498,511,524,536,547,558,568,573,579,586,587,591,594,594,596,601,601,603
427,460,482,501,511,523,535,550,560,568,577,583,586,588,591,596,598,600,600,600,603
430,463,488,510,528,540,547,555,558,565,569,572,577,585,590,596,599,601,601,602,603
429,462,488,508,521,539,546,556,565,574,579,585,587,593,597,598,600,601,601,603,603
419,463,484,500,515,524,531,549,559,566,575,577,583,586,591,593,598,598,600,602,603
429,466,493,511,519,528,541,548,558,565,568,572,579,586,588,593,595,599,602,603,603
424,463,480,494,507,522,544,549,555,559,567,574,580,582,586,592,597,601,603,603,603
400,455,475,495,511,525,546,554,559,568,573,576,580,586,589,594,595,598,599,602,603
400,441,469,490,510,525,533,545,556,562,566,573,580,587,592,595,599,600,602,602,603
417,455,475,502,515,531,540,553,561,569,572,578,586,591,595,596,599,601,601,602,603
404,446,471,496,511,523,534,547,559,565,574,579,585,593,594,597,599,602,602,602,603
421,461,481,499,513,526,536,546,556,564,567,576,581,581,586,589,593,598,600,602,603
392,429,452,468,491,511,525,539,555,557,563,567,573,581,584,587,589,597,601,602,603
403,443,472,494,506,521,536,545,554,562,569,577,586,587,594,596,599,603,603,603,603
397,437,458,480,505,518,532,547,552,559,568,574,581,588,591,594,596,598,599,601,603
416,454,477,498,519,526,532,543,550,560,564,568,578,581,586,591,592,595,599,602,603
392,429,458,476,496,506,527,536,548,554,558,563,571,578,583,589,594,597,598,601,603
394,438,468,484,500,514,527,538,544,557,562,567,573,579,585,587,591,593,597,601,603
