1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
341,380,411,445,467,482,500,519,536,543,556,562,570,573,579,585,590,592,597,599,603
350,386,416,447,471,484,510,525,536,546,558,566,570,575,578,584,590,595,600,603,603
367,406,429,452,473,495,510,520,528,535,542,555,564,571,581,587,598,602,603,603,603
346,392,418,442,458,478,492,512,523,535,552,559,567,576,583,589,594,595,598,601,603
350,397,424,448,471,486,502,512,524,534,547,551,565,572,573,583,586,593,597,601,603
341,390,414,446,464,490,503,520,530,544,555,560,572,581,586,589,595,598,602,603,603
341,391,427,459,478,491,505,520,528,540,550,556,561,566,574,580,588,593,597,601,603
338,376,403,432,451,476,486,503,523,539,550,562,573,575,581,588,591,596,597,602,603
325,374,414,434,453,469,484,500,517,529,545,556,564,577,582,588,592,596,599,602,603
321,365,396,429,450,473,497,514,525,530,543,553,565,574,580,583,589,592,599,602,603
364,405,428,452,473,491,505,530,543,548,560,569,575,582,586,592,595,596,597,603,603
338,377,405,433,450,463,489,509,522,531,544,552,561,569,578,583,590,594,597,600,603
338,381,417,440,463,481,497,511,526,541,552,558,563,571,582,587,593,594,596,600,603
370,411,443,469,484,506,517,533,537,545,553,557,567,572,581,588,591,594,596,600,603
345,389,416,444,467,490,509,524,531,544,554,562,573,578,584,588,593,599,601,601,603
344,375,416,440,466,487,502,522,534,540,544,555,564,571,580,584,593,598,601,601,603
330,363,396,429,450,470,481,496,512,533,548,550,562,575,577,586,593,597,602,603,603
346,387,421,447,466,477,494,507,522,529,541,550,561,569,580,583,590,592,596,600,603
353,404,434,457,472,490,502,512,524,538,549,558,565,572,578,583,594,597,600,601,603
333,384,414,435,454,470,489,501,516,530,541,547,557,567,572,576,592,596,598,601,603
340,381,404,432,452,464,485,506,519,532,538,541,551,557,567,576,585,597,598,601,603
332,383,419,444,463,479,502,519,527,533,548,556,561,573,580,587,592,594,599,601,603
341,394,423,447,474,489,504,522,538,551,565,574,579,584,587,590,594,596,600,601,603
330,378,412,435,459,477,495,506,519,529,542,553,559,568,576,581,590,594,597,600,603
346,390,415,441,459,481,499,511,521,537,551,563,569,576,579,585,591,596,598,600,603
326,370,413,448,466,486,501,516,529,537,547,556,562,568,579,583,598,601,601,602,603
360,400,421,444,473,495,511,520,531,540,549,558,563,570,576,583,587,594,599,601,603
354,391,421,449,467,486,499,514,528,540,550,560,567,571,582,591,594,596,601,603,603
336,378,412,442,459,485,504,524,535,540,551,562,567,574,581,585,588,594,600,602,603
360,412,437,462,479,496,511,524,531,539,545,554,568,573,581,587,592,596,598,601,603
354,399,425,450,464,487,501,522,532,539,545,556,565,572,580,585,592,599,600,602,603
332,368,402,422,439,457,480,495,512,523,536,547,557,567,576,587,592,596,597,602,603
342,386,408,434,451,477,495,517,527,534,543,545,552,558,568,579,589,595,597,602,603
332,377,407,429,447,471,491,508,520,531,542,553,560,572,580,583,588,593,597,601,603
337,383,409,434,449,470,488,507,518,529,541,552,566,573,583,590,594,597,599,601,603
341,391,413,440,463,481,501,512,525,532,538,547,561,572,578,589,596,598,601,603,603
340,380,418,439,465,478,497,513,531,543,555,566,573,579,585,588,593,596,599,602,603
