1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
284,304,317,327,349,372,388,395,413,426,433,454,474,492,515,525,535,545,560,580,603
301,315,327,340,362,379,395,407,429,448,463,479,490,506,523,534,543,558,571,586,603
309,319,328,345,365,384,403,415,427,438,455,473,486,501,519,535,543,559,573,586,603
302,319,330,349,359,377,396,409,426,448,464,476,489,510,527,540,556,566,577,587,603
307,324,334,349,366,378,393,407,419,435,446,469,489,503,521,544,551,559,568,583,603
308,320,329,344,363,376,386,394,411,436,447,463,482,493,511,527,546,559,567,579,603
274,290,298,310,324,344,361,380,402,418,436,454,477,494,512,531,541,554,568,582,603
279,288,305,318,337,354,379,403,426,435,455,471,489,509,526,538,550,563,572,581,603
285,304,325,338,355,371,387,398,417,429,444,455,482,500,517,531,543,557,568,580,603
280,300,314,327,352,366,386,406,421,437,463,475,490,510,519,530,540,550,559,574,603
267,277,292,317,335,350,364,375,398,413,427,441,455,476,496,514,525,537,554,574,603
298,312,330,342,360,373,390,401,415,425,444,463,478,492,513,533,551,563,574,586,603
292,315,323,336,352,369,390,399,418,430,441,454,478,498,518,531,537,550,571,584,603
305,320,328,342,356,375,391,405,419,435,447,460,481,505,517,535,547,555,564,581,603
288,298,314,322,344,364,375,393,407,418,431,451,471,488,505,521,531,544,563,581,603
285,298,312,328,347,363,376,394,411,428,444,457,479,496,518,537,553,558,567,583,603
295,309,321,335,355,372,388,400,422,444,455,463,483,508,525,536,549,560,567,577,603
312,333,343,360,377,394,412,422,437,456,467,480,499,517,528,538,551,563,574,585,603
305,321,334,343,358,383,394,412,432,441,459,469,484,508,520,527,540,549,558,574,603
292,305,320,334,348,369,391,401,415,433,438,450,479,500,514,531,549,561,573,586,603
313,328,340,350,366,391,402,416,434,454,468,483,494,514,530,543,551,564,575,591,603
287,305,312,323,340,347,372,389,408,423,439,455,479,498,510,528,546,559,575,589,603
279,290,300,309,326,342,359,372,390,407,418,427,445,478,497,516,524,541,560,576,603
283,293,306,326,344,361,378,388,409,424,438,455,476,488,503,518,529,543,563,578,603
282,296,311,321,341,357,376,387,400,412,427,444,465,482,502,525,535,545,565,586,603
283,302,315,331,347,360,379,392,407,421,434,451,474,493,510,525,533,539,564,577,603
328,345,363,380,398,412,428,434,446,460,470,476,488,514,527,541,547,556,568,585,603
305,324,335,352,367,384,407,417,435,446,459,476,492,512,535,542,551,558,574,585,603
296,313,327,335,354,371,386,393,409,428,439,460,480,495,512,521,533,541,555,574,603
302,312,323,338,358,370,391,402,421,435,449,466,486,504,512,529,541,557,567,578,603
290,307,320,334,351,361,373,393,411,425,439,460,474,492,516,534,544,554,568,584,603
273,284,299,313,330,342,360,374,396,414,435,452,472,497,514,531,539,549,566,579,603
287,305,320,335,349,366,382,400,412,431,443,459,471,494,509,519,528,543,559,576,603
299,313,325,339,357,376,393,410,434,444,459,471,489,507,521,539,548,554,568,583,603
287,302,320,331,348,369,386,402,415,430,448,462,478,492,502,519,527,545,567,583,603
293,307,324,343,362,379,387,399,412,434,453,469,486,498,516,527,542,558,565,581,603
266,279,292,308,324,349,361,376,395,414,434,445,467,485,505,523,536,551,570,583,603
310,325,337,350,362,383,393,401,416,434,445,460,477,495,515,529,541,551,560,578,603
287,297,312,326,342,353,374,388,407,422,446,456,471,492,506,518,530,548,565,582,603
298,311,326,334,353,369,388,409,423,440,452,471,485,506,527,535,546,561,573,587,603
290,306,323,338,357,374,389,399,413,426,441,454,471,487,511,535,547,561,573,581,603
294,314,336,346,364,383,391,405,421,442,460,479,494,515,534,549,555,560,572,584,603
313,322,337,346,363,376,388,397,413,423,441,461,482,501,513,531,539,551,566,581,603
304,321,332,347,362,375,392,405,422,432,450,464,484,498,510,526,538,547,561,577,603
300,313,328,347,357,365,381,392,409,425,445,464,480,502,519,541,552,561,571,582,603
